City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
438,Sapa,5.1544,120.3241,80.58,81,88,7.02,PH,2021-12-05 22:51:07
439,Mazagao,-0.115,-51.2894,78.85,87,94,4.21,BR,2021-12-05 22:51:07
440,Contamana,-7.3333,-75.0167,82.35,63,100,1.83,PE,2021-12-05 22:51:08
441,Luorong,24.4058,109.6086,50.25,59,10,4.05,CN,2021-12-05 22:51:08
442,Mapiripan,2.8892,-72.1256,78.01,79,97,4.47,CO,2021-12-05 22:51:08
443,Makinsk,52.6292,70.4169,10.83,96,69,6.46,KZ,2021-12-05 22:51:08
444,College,64.8569,-147.8028,8.91,77,75,4.61,US,2021-12-05 22:51:09
445,Salina,38.8403,-97.6114,59.13,41,1,16.11,US,2021-12-05 22:51:09
446,Matara,5.9485,80.5353,75.33,91,71,4.99,LK,2021-12-05 22:47:49
447,Waitati,-45.75,170.5667,54.81,66,99,4.21,NZ,2021-12-05 22:51:10
448,Briancon,44.9,6.65,25.75,96,57,3.06,FR,2021-12-05 22:51:10
449,Darnah,32.767,22.6367,60.69,75,5,15.97,LY,2021-12-05 22:51:10
450,Birao,10.2849,22.7882,73.96,24,44,7.07,CF,2021-12-05 22:51:10
451,Careiro Da Varzea,-3.2003,-59.8119,81.23,84,45,3.02,BR,2021-12-05 22:51:11
452,Port Hueneme,34.1478,-119.1951,84.2,74,1,6.91,US,2021-12-05 22:51:11
453,Grand Gaube,-20.0064,57.6608,78.39,70,7,7.0,MU,2021-12-05 22:51:11
454,La Primavera,5.4906,-70.4092,82.67,61,98,4.5,CO,2021-12-05 22:51:12
455,Podor,16.6527,-14.9587,80.55,29,0,2.3,MR,2021-12-05 22:51:12
456,Ponta Pora,-22.5361,-55.7256,77.97,47,39,3.96,BR,2021-12-05 22:51:12
457,Kirkenaer,60.4564,12.0582,15.46,97,67,2.48,NO,2021-12-05 22:51:13
458,Antanifotsy,-19.65,47.3167,57.51,93,60,1.74,MG,2021-12-05 22:51:13
459,Shenzhen,22.5455,114.0683,64.15,68,27,1.01,CN,2021-12-05 22:48:08
460,La Paz,-16.5,-68.15,55.38,76,75,10.36,BO,2021-12-05 22:49:19
461,Coahuayana,18.7333,-103.6833,83.75,65,97,3.56,MX,2021-12-05 22:51:49
462,Arman,59.7,150.1667,-14.35,92,26,6.29,RU,2021-12-05 22:52:13
463,Bharthana,26.7571,79.2248,68.94,50,100,2.77,IN,2021-12-05 22:52:14
464,Gat,31.61,34.7642,61.39,55,26,9.33,IL,2021-12-05 22:52:03
465,Abalak,58.1286,68.5944,4.21,94,55,4.41,RU,2021-12-05 22:52:14
466,Qasigiannguit,68.8193,-51.1922,25.2,63,100,18.7,GL,2021-12-05 22:52:14
467,Loubomo,-4.1997,12.6739,72.86,97,100,1.97,CG,2021-12-05 22:52:15
468,Bac Giang,21.2667,106.2,55.47,54,48,4.56,VN,2021-12-05 22:52:15
469,Huanan,46.2167,130.5167,32.54,86,100,15.73,CN,2021-12-05 22:52:15
470,Berdigestyakh,62.0989,126.6992,-9.71,92,100,7.87,RU,2021-12-05 22:52:15
471,Poltavskaya,45.362,38.2154,46.13,82,100,2.55,RU,2021-12-05 22:52:16
472,Malinovskiy,61.1953,62.8397,-1.07,96,100,3.09,RU,2021-12-05 22:52:16
473,Ahipara,-35.1667,173.1667,74.77,66,56,9.86,NZ,2021-12-05 22:52:16
474,Suzun,53.7841,82.3116,21.97,94,100,3.87,RU,2021-12-05 22:52:17
475,Nemuro,43.3236,145.575,38.12,73,3,15.3,JP,2021-12-05 22:52:17
476,Orbetello,42.4408,11.2196,48.24,72,12,7.2,IT,2021-12-05 22:52:17
477,Nuuk,64.1835,-51.7216,25.88,73,100,20.0,GL,2021-12-05 22:52:17
478,Malanje,-9.5402,16.341,64.2,96,100,3.11,AO,2021-12-05 22:52:18
479,Waw,7.7029,27.9953,81.09,30,54,4.47,SS,2021-12-05 22:52:18
480,Rimouski,48.4488,-68.524,19.08,68,98,11.63,CA,2021-12-05 22:50:28
481,Vuktyl,63.8567,57.3094,-13.61,94,5,0.98,RU,2021-12-05 22:52:18
482,Nueva Italia,-25.6167,-57.5,88.83,48,64,7.09,PY,2021-12-05 22:52:19
483,Juneau,58.3019,-134.4197,28.22,92,90,11.5,US,2021-12-05 22:52:19
484,Storforshei,66.4043,14.5233,-3.03,87,5,5.73,NO,2021-12-05 22:50:07
485,Genhe,50.7833,121.5167,-0.76,98,94,3.89,CN,2021-12-05 22:52:19
486,Kenai,60.5544,-151.2583,19.15,87,90,9.22,US,2021-12-05 22:52:19
487,Srikakulam,18.3,83.9,71.91,88,75,4.99,IN,2021-12-05 22:52:20
488,Axim,4.8699,-2.2405,80.37,83,42,8.57,GH,2021-12-05 22:52:20
